global_id,camera_id,frame_idx,timestamp_iso,x1,y1,x2,y2,confidence
0,cam0,0,2025-11-13T05:32:10.619989+00:00,535,107,770,623,1.0
1,cam0,0,2025-11-13T05:32:10.619989+00:00,680,0,851,371,1.0
2,cam0,0,2025-11-13T05:32:10.619989+00:00,186,0,345,273,1.0
2,cam1,0,2025-11-13T05:32:12.650037+00:00,438,88,670,533,1.0
0,cam1,0,2025-11-13T05:32:12.650037+00:00,697,50,839,376,1.0
2,cam0,133,2025-11-13T05:32:14.486992+00:00,600,17,798,437,1.0
0,cam0,133,2025-11-13T05:32:14.486992+00:00,733,24,967,545,1.0
3,cam0,133,2025-11-13T05:32:14.486992+00:00,653,0,715,140,1.0
0,cam1,75,2025-11-13T05:32:14.601102+00:00,132,67,290,407,1.0
2,cam1,75,2025-11-13T05:32:14.601102+00:00,687,38,854,393,1.0
1,cam1,75,2025-11-13T05:32:14.601102+00:00,872,26,1034,388,1.0
0,cam0,160,2025-11-13T05:32:15.624824+00:00,649,17,840,544,1.0
2,cam0,160,2025-11-13T05:32:15.624824+00:00,823,41,1005,483,1.0
1,cam0,160,2025-11-13T05:32:15.624824+00:00,522,0,683,254,1.0
0,cam1,121,2025-11-13T05:32:16.125640+00:00,73,109,268,553,1.0
1,cam1,121,2025-11-13T05:32:16.125640+00:00,715,35,892,439,1.0
2,cam1,121,2025-11-13T05:32:16.125640+00:00,850,30,963,323,1.0
0,cam0,184,2025-11-13T05:32:16.236305+00:00,518,5,745,481,1.0
2,cam0,184,2025-11-13T05:32:16.236305+00:00,937,67,1204,558,1.0
1,cam0,184,2025-11-13T05:32:16.236305+00:00,381,1,534,268,1.0
4,cam0,201,2025-11-13T05:32:16.791216+00:00,466,0,644,419,1.0
5,cam0,201,2025-11-13T05:32:16.791216+00:00,999,97,1261,665,1.0
6,cam0,201,2025-11-13T05:32:16.791216+00:00,280,5,426,301,1.0
0,cam1,131,2025-11-13T05:32:16.554137+00:00,85,121,380,582,1.0
1,cam1,131,2025-11-13T05:32:16.554137+00:00,696,34,859,460,1.0
2,cam1,131,2025-11-13T05:32:16.554137+00:00,869,33,1042,329,1.0
0,cam0,214,2025-11-13T05:32:17.250341+00:00,447,0,602,418,1.0
2,cam0,214,2025-11-13T05:32:17.250341+00:00,959,111,1260,672,1.0
1,cam0,214,2025-11-13T05:32:17.250341+00:00,216,3,339,309,1.0
0,cam1,155,2025-11-13T05:32:17.550740+00:00,282,141,565,659,1.0
1,cam1,155,2025-11-13T05:32:17.550740+00:00,518,47,760,482,1.0
2,cam1,155,2025-11-13T05:32:17.550740+00:00,1001,47,1133,345,1.0
0,cam0,223,2025-11-13T05:32:17.680959+00:00,422,0,569,401,1.0
2,cam0,223,2025-11-13T05:32:17.680959+00:00,883,128,1224,712,1.0
1,cam0,223,2025-11-13T05:32:17.680959+00:00,158,19,320,368,1.0
0,cam1,167,2025-11-13T05:32:18.427127+00:00,393,148,649,680,1.0
1,cam1,167,2025-11-13T05:32:18.427127+00:00,530,41,671,473,1.0
2,cam1,167,2025-11-13T05:32:18.427127+00:00,1008,58,1188,384,1.0
0,cam0,244,2025-11-13T05:32:18.690145+00:00,309,0,506,362,1.0
2,cam0,244,2025-11-13T05:32:18.690145+00:00,706,145,1048,713,1.0
1,cam0,244,2025-11-13T05:32:18.690145+00:00,76,31,234,390,1.0
7,cam0,270,2025-11-13T05:32:19.403368+00:00,229,0,388,331,1.0
8,cam0,270,2025-11-13T05:32:19.403368+00:00,385,167,754,709,1.0
9,cam0,270,2025-11-13T05:32:19.403368+00:00,94,45,248,472,1.0
1,cam1,190,2025-11-13T05:32:19.242831+00:00,413,55,581,593,1.0
7,cam1,190,2025-11-13T05:32:19.242831+00:00,554,148,850,677,1.0
2,cam1,190,2025-11-13T05:32:19.242831+00:00,1112,74,1264,425,1.0
1,cam0,278,2025-11-13T05:32:19.725366+00:00,185,0,380,329,1.0
2,cam0,278,2025-11-13T05:32:19.725366+00:00,318,187,664,713,1.0
7,cam0,278,2025-11-13T05:32:19.725366+00:00,125,68,324,505,1.0
1,cam1,210,2025-11-13T05:32:19.688301+00:00,329,71,558,667,1.0
7,cam1,210,2025-11-13T05:32:19.688301+00:00,750,126,1030,624,1.0
2,cam1,210,2025-11-13T05:32:19.688301+00:00,1201,142,1265,433,1.0
9,cam1,210,2025-11-13T05:32:19.688301+00:00,882,0,946,128,1.0
1,cam0,292,2025-11-13T05:32:20.390864+00:00,181,65,404,379,1.0
2,cam0,292,2025-11-13T05:32:20.390864+00:00,70,224,641,713,1.0
9,cam0,292,2025-11-13T05:32:20.390864+00:00,121,0,242,227,1.0
7,cam0,308,2025-11-13T05:32:20.919631+00:00,302,80,577,531,1.0
10,cam0,308,2025-11-13T05:32:20.919631+00:00,13,192,316,711,1.0
11,cam0,308,2025-11-13T05:32:20.919631+00:00,95,1,255,344,1.0
2,cam1,246,2025-11-13T05:32:20.827751+00:00,429,92,732,689,1.0
9,cam1,246,2025-11-13T05:32:20.827751+00:00,925,85,1084,495,1.0
0,cam1,210,2025-11-13T05:32:19.688301+00:00,1201,142,1265,433,1.0
11,cam1,246,2025-11-13T05:32:20.827751+00:00,774,1,884,246,1.0
9,cam0,324,2025-11-13T05:32:21.346067+00:00,476,79,758,542,1.0
11,cam0,324,2025-11-13T05:32:21.346067+00:00,11,162,213,714,1.0
0,cam0,324,2025-11-13T05:32:21.346067+00:00,98,2,273,398,1.0
7,cam1,266,2025-11-13T05:32:21.371417+00:00,624,80,906,624,1.0
9,cam1,266,2025-11-13T05:32:21.371417+00:00,920,71,1057,448,1.0
0,cam1,210,2025-11-13T05:32:19.688301+00:00,1201,142,1265,433,1.0
11,cam1,266,2025-11-13T05:32:21.371417+00:00,745,1,856,218,1.0
9,cam0,352,2025-11-13T05:32:22.074334+00:00,681,87,967,548,1.0
0,cam0,352,2025-11-13T05:32:22.074334+00:00,21,96,299,673,1.0
7,cam0,352,2025-11-13T05:32:22.074334+00:00,117,12,321,441,1.0
2,cam0,352,2025-11-13T05:32:22.074334+00:00,1028,15,1265,457,1.0
4,cam1,296,2025-11-13T05:32:22.251667+00:00,797,75,997,599,1.0
9,cam1,296,2025-11-13T05:32:22.251667+00:00,1046,96,1261,554,1.0
3,cam1,296,2025-11-13T05:32:22.251667+00:00,871,49,939,157,1.0
0,cam1,296,2025-11-13T05:32:22.251667+00:00,642,5,788,313,1.0
9,cam0,367,2025-11-13T05:32:22.980461+00:00,878,77,1102,527,1.0
0,cam0,367,2025-11-13T05:32:22.980461+00:00,174,91,503,648,1.0
11,cam0,367,2025-11-13T05:32:22.980461+00:00,97,14,252,326,1.0
4,cam0,367,2025-11-13T05:32:22.980461+00:00,1031,7,1121,422,1.0
4,cam1,319,2025-11-13T05:32:23.306124+00:00,794,77,981,598,1.0
9,cam1,319,2025-11-13T05:32:23.306124+00:00,932,74,1170,478,1.0
11,cam1,319,2025-11-13T05:32:23.306124+00:00,808,39,889,176,1.0
0,cam1,319,2025-11-13T05:32:23.306124+00:00,557,12,726,359,1.0
7,cam1,319,2025-11-13T05:32:23.306124+00:00,776,38,889,252,1.0
9,cam0,389,2025-11-13T05:32:23.793348+00:00,1003,64,1209,505,1.0
0,cam0,389,2025-11-13T05:32:23.793348+00:00,383,70,652,603,1.0
7,cam0,389,2025-11-13T05:32:23.793348+00:00,131,15,330,467,1.0
11,cam0,389,2025-11-13T05:32:23.793348+00:00,737,2,946,394,1.0
7,cam1,353,2025-11-13T05:32:24.424959+00:00,780,63,1003,573,1.0
9,cam1,319,2025-11-13T05:32:23.306124+00:00,932,74,1170,478,1.0
11,cam1,319,2025-11-13T05:32:23.306124+00:00,808,39,889,176,1.0
0,cam1,353,2025-11-13T05:32:24.424959+00:00,483,31,665,434,1.0
1,cam1,353,2025-11-13T05:32:24.424959+00:00,609,44,734,315,1.0
9,cam0,410,2025-11-13T05:32:24.474243+00:00,985,34,1124,419,1.0
0,cam0,410,2025-11-13T05:32:24.474243+00:00,509,38,734,525,1.0
7,cam0,410,2025-11-13T05:32:24.474243+00:00,154,14,337,455,1.0
11,cam0,410,2025-11-13T05:32:24.474243+00:00,655,0,799,349,1.0
7,cam1,372,2025-11-13T05:32:25.154156+00:00,806,75,1042,566,1.0
9,cam1,372,2025-11-13T05:32:25.154156+00:00,789,52,941,403,1.0
11,cam1,319,2025-11-13T05:32:23.306124+00:00,808,39,889,176,1.0
0,cam1,372,2025-11-13T05:32:25.154156+00:00,431,41,642,504,1.0
6,cam1,353,2025-11-13T05:32:24.424959+00:00,609,44,734,315,1.0
9,cam0,430,2025-11-13T05:32:25.172759+00:00,904,15,1029,380,1.0
0,cam0,430,2025-11-13T05:32:25.172759+00:00,587,36,813,500,1.0
7,cam0,430,2025-11-13T05:32:25.172759+00:00,168,22,362,508,1.0
6,cam0,430,2025-11-13T05:32:25.172759+00:00,440,1,622,358,1.0
4,cam0,448,2025-11-13T05:32:25.661331+00:00,893,22,1032,377,1.0
11,cam0,448,2025-11-13T05:32:25.661331+00:00,615,37,792,503,1.0
1,cam0,448,2025-11-13T05:32:25.661331+00:00,209,27,404,532,1.0
3,cam0,448,2025-11-13T05:32:25.661331+00:00,364,1,528,375,1.0
4,cam1,399,2025-11-13T05:32:25.851713+00:00,942,59,1126,508,1.0
0,cam1,399,2025-11-13T05:32:25.851713+00:00,740,56,956,413,1.0
11,cam1,319,2025-11-13T05:32:23.306124+00:00,808,39,889,176,1.0
2,cam1,399,2025-11-13T05:32:25.851713+00:00,541,61,757,548,1.0
3,cam1,399,2025-11-13T05:32:25.851713+00:00,542,41,656,204,1.0
4,cam0,475,2025-11-13T05:32:26.593443+00:00,922,35,1121,400,1.0
11,cam0,475,2025-11-13T05:32:26.593443+00:00,612,35,785,502,1.0
3,cam0,475,2025-11-13T05:32:26.593443+00:00,178,1,388,403,1.0
0,cam0,475,2025-11-13T05:32:26.593443+00:00,338,37,610,583,1.0
4,cam1,430,2025-11-13T05:32:26.876005+00:00,984,43,1149,443,1.0
9,cam1,430,2025-11-13T05:32:26.876005+00:00,646,44,805,422,1.0
1,cam1,430,2025-11-13T05:32:26.876005+00:00,622,32,709,324,1.0
11,cam1,430,2025-11-13T05:32:26.876005+00:00,724,86,934,626,1.0
3,cam1,399,2025-11-13T05:32:25.851713+00:00,542,41,656,204,1.0
4,cam0,496,2025-11-13T05:32:27.629334+00:00,949,33,1127,402,1.0
11,cam0,496,2025-11-13T05:32:27.629334+00:00,641,13,776,429,1.0
3,cam0,496,2025-11-13T05:32:27.629334+00:00,57,8,280,443,1.0
1,cam0,496,2025-11-13T05:32:27.629334+00:00,502,48,799,611,1.0
4,cam1,430,2025-11-13T05:32:26.876005+00:00,984,43,1149,443,1.0
11,cam1,457,2025-11-13T05:32:27.859992+00:00,486,55,661,438,1.0
0,cam1,457,2025-11-13T05:32:27.859992+00:00,626,33,707,304,1.0
7,cam1,457,2025-11-13T05:32:27.859992+00:00,806,80,1134,616,1.0
3,cam1,399,2025-11-13T05:32:25.851713+00:00,542,41,656,204,1.0
4,cam0,519,2025-11-13T05:32:28.427950+00:00,925,34,1148,400,1.0
11,cam0,519,2025-11-13T05:32:28.427950+00:00,522,2,667,374,1.0
7,cam0,519,2025-11-13T05:32:28.427950+00:00,59,23,266,544,1.0
0,cam0,519,2025-11-13T05:32:28.427950+00:00,686,50,902,629,1.0
4,cam1,480,2025-11-13T05:32:28.773732+00:00,886,22,1029,368,1.0
1,cam1,480,2025-11-13T05:32:28.773732+00:00,344,66,538,481,1.0
11,cam1,480,2025-11-13T05:32:28.773732+00:00,553,42,670,335,1.0
7,cam1,480,2025-11-13T05:32:28.773732+00:00,973,77,1247,571,1.0
6,cam1,399,2025-11-13T05:32:25.851713+00:00,542,41,656,204,1.0
4,cam0,524,2025-11-13T05:32:28.957077+00:00,926,32,1136,399,1.0
11,cam0,524,2025-11-13T05:32:28.957077+00:00,502,2,652,374,1.0
7,cam0,524,2025-11-13T05:32:28.957077+00:00,52,21,265,544,1.0
1,cam0,524,2025-11-13T05:32:28.957077+00:00,691,50,928,628,1.0
9,cam0,524,2025-11-13T05:32:28.957077+00:00,926,32,1136,399,1.0
3,cam0,561,2025-11-13T05:32:29.793674+00:00,345,0,520,317,1.0
2,cam0,561,2025-11-13T05:32:29.793674+00:00,65,46,301,605,1.0
6,cam0,561,2025-11-13T05:32:29.793674+00:00,816,23,1037,546,1.0
9,cam1,502,2025-11-13T05:32:29.485569+00:00,788,19,957,366,1.0
7,cam1,502,2025-11-13T05:32:29.485569+00:00,248,82,441,555,1.0
11,cam1,502,2025-11-13T05:32:29.485569+00:00,538,50,653,364,1.0
1,cam1,502,2025-11-13T05:32:29.485569+00:00,989,75,1263,569,1.0
3,cam1,399,2025-11-13T05:32:25.851713+00:00,542,41,656,204,1.0
9,cam0,575,2025-11-13T05:32:30.278816+00:00,647,24,853,364,1.0
7,cam0,575,2025-11-13T05:32:30.278816+00:00,281,0,420,309,1.0
3,cam0,575,2025-11-13T05:32:30.278816+00:00,116,46,414,606,1.0
1,cam0,575,2025-11-13T05:32:30.278816+00:00,828,10,1036,511,1.0
7,cam1,529,2025-11-13T05:32:30.425695+00:00,781,14,946,375,1.0
2,cam1,529,2025-11-13T05:32:30.425695+00:00,116,99,307,594,1.0
9,cam1,529,2025-11-13T05:32:30.425695+00:00,511,58,632,412,1.0
1,cam1,529,2025-11-13T05:32:30.425695+00:00,887,58,1140,515,1.0
3,cam1,399,2025-11-13T05:32:25.851713+00:00,542,41,656,204,1.0
11,cam0,601,2025-11-13T05:32:30.965487+00:00,635,11,795,358,1.0
1,cam0,601,2025-11-13T05:32:30.965487+00:00,272,23,567,529,1.0
3,cam0,575,2025-11-13T05:32:30.278816+00:00,116,46,414,606,1.0
9,cam0,601,2025-11-13T05:32:30.965487+00:00,765,8,997,488,1.0
11,cam1,554,2025-11-13T05:32:31.336227+00:00,776,16,898,361,1.0
4,cam1,554,2025-11-13T05:32:31.336227+00:00,15,112,251,652,1.0
9,cam1,554,2025-11-13T05:32:31.336227+00:00,477,49,618,380,1.0
1,cam1,554,2025-11-13T05:32:31.336227+00:00,815,41,974,455,1.0
3,cam1,399,2025-11-13T05:32:25.851713+00:00,542,41,656,204,1.0
9,cam0,616,2025-11-13T05:32:31.628350+00:00,698,11,822,364,1.0
7,cam0,616,2025-11-13T05:32:31.628350+00:00,366,15,617,502,1.0
11,cam0,616,2025-11-13T05:32:31.628350+00:00,214,0,357,284,1.0
1,cam0,616,2025-11-13T05:32:31.628350+00:00,771,8,966,488,1.0
4,cam0,630,2025-11-13T05:32:32.201684+00:00,722,75,863,346,1.0
3,cam0,630,2025-11-13T05:32:32.201684+00:00,436,9,648,489,1.0
2,cam0,630,2025-11-13T05:32:32.201684+00:00,232,0,370,294,1.0
12,cam0,630,2025-11-13T05:32:32.201684+00:00,772,10,967,489,1.0
7,cam1,572,2025-11-13T05:32:32.283388+00:00,801,20,926,358,1.0
4,cam1,572,2025-11-13T05:32:32.283388+00:00,18,108,295,654,1.0
9,cam1,572,2025-11-13T05:32:32.283388+00:00,506,43,622,357,1.0
1,cam1,572,2025-11-13T05:32:32.283388+00:00,641,41,898,448,1.0
3,cam1,399,2025-11-13T05:32:25.851713+00:00,542,41,656,204,1.0
9,cam0,661,2025-11-13T05:32:33.350175+00:00,979,32,1157,385,1.0
4,cam0,661,2025-11-13T05:32:33.350175+00:00,540,1,686,395,1.0
7,cam0,661,2025-11-13T05:32:33.350175+00:00,252,0,453,298,1.0
1,cam0,661,2025-11-13T05:32:33.350175+00:00,770,8,959,487,1.0
1,cam1,607,2025-11-13T05:32:33.461752+00:00,774,16,911,374,1.0
4,cam1,607,2025-11-13T05:32:33.461752+00:00,163,98,355,605,1.0
2,cam1,607,2025-11-13T05:32:33.461752+00:00,479,31,601,410,1.0
9,cam1,607,2025-11-13T05:32:33.461752+00:00,615,36,800,299,1.0
6,cam1,399,2025-11-13T05:32:25.851713+00:00,542,41,656,204,1.0
1,cam0,685,2025-11-13T05:32:33.982451+00:00,1088,57,1253,474,1.0
4,cam0,685,2025-11-13T05:32:33.982451+00:00,592,0,741,349,1.0
2,cam0,685,2025-11-13T05:32:33.982451+00:00,316,0,476,321,1.0
6,cam0,685,2025-11-13T05:32:33.982451+00:00,771,7,957,488,1.0
1,cam1,637,2025-11-13T05:32:34.259477+00:00,775,16,910,376,1.0
4,cam1,637,2025-11-13T05:32:34.259477+00:00,289,97,595,542,1.0
2,cam1,607,2025-11-13T05:32:33.461752+00:00,479,31,601,410,1.0
11,cam1,637,2025-11-13T05:32:34.259477+00:00,874,39,940,318,1.0
6,cam1,637,2025-11-13T05:32:34.259477+00:00,253,32,416,248,1.0
1,cam0,701,2025-11-13T05:32:34.464739+00:00,1079,83,1262,567,1.0
4,cam0,701,2025-11-13T05:32:34.464739+00:00,620,0,772,312,1.0
2,cam0,701,2025-11-13T05:32:34.464739+00:00,313,2,458,354,1.0
6,cam0,701,2025-11-13T05:32:34.464739+00:00,769,8,955,486,1.0
1,cam1,653,2025-11-13T05:32:34.961967+00:00,774,17,913,376,1.0
4,cam1,653,2025-11-13T05:32:34.961967+00:00,458,97,659,544,1.0
2,cam1,607,2025-11-13T05:32:33.461752+00:00,479,31,601,410,1.0
7,cam1,653,2025-11-13T05:32:34.961967+00:00,887,51,1006,347,1.0
12,cam1,653,2025-11-13T05:32:34.961967+00:00,245,29,386,389,1.0
1,cam0,727,2025-11-13T05:32:35.240098+00:00,862,104,1113,602,1.0
12,cam0,727,2025-11-13T05:32:35.240098+00:00,673,0,817,274,1.0
4,cam0,727,2025-11-13T05:32:35.240098+00:00,259,17,429,404,1.0
7,cam0,727,2025-11-13T05:32:35.240098+00:00,770,8,955,488,1.0
11,cam0,747,2025-11-13T05:32:35.966109+00:00,625,108,888,645,1.0
2,cam0,747,2025-11-13T05:32:35.966109+00:00,712,0,780,111,1.0
3,cam0,747,2025-11-13T05:32:35.966109+00:00,177,20,384,434,1.0
9,cam0,747,2025-11-13T05:32:35.966109+00:00,779,8,959,485,1.0
1,cam1,686,2025-11-13T05:32:35.948718+00:00,815,18,915,298,1.0
11,cam1,686,2025-11-13T05:32:35.948718+00:00,719,87,924,555,1.0
2,cam1,607,2025-11-13T05:32:33.461752+00:00,479,31,601,410,1.0
9,cam1,686,2025-11-13T05:32:35.948718+00:00,1006,70,1164,416,1.0
12,cam1,686,2025-11-13T05:32:35.948718+00:00,105,27,308,380,1.0
11,cam0,758,2025-11-13T05:32:36.937578+00:00,557,104,778,646,1.0
9,cam0,758,2025-11-13T05:32:36.937578+00:00,716,0,836,269,1.0
2,cam0,758,2025-11-13T05:32:36.937578+00:00,173,32,381,486,1.0
12,cam0,758,2025-11-13T05:32:36.937578+00:00,770,7,958,488,1.0
